'Elapsed time','V5','V2'
2.132,5.030,5.390
2.136,5.015,5.370
2.140,4.995,5.350
2.144,4.985,5.335
2.148,4.990,5.345
2.152,4.980,5.325
2.156,4.965,5.305
2.160,4.960,5.300
2.164,4.955,5.300
2.168,4.965,5.290
2.172,4.950,5.275
2.176,4.930,5.265
2.180,4.945,5.260
2.184,4.940,5.265
2.188,4.940,5.250
2.192,4.930,5.235
2.196,4.925,5.245
2.200,4.925,5.255
2.204,4.915,5.235
2.208,4.900,5.225
2.212,4.900,5.220
2.216,4.915,5.225
2.220,4.915,5.215
2.224,4.905,5.200
2.228,4.890,5.210
2.232,4.910,5.220
2.236,4.900,5.210
2.240,4.880,5.190
2.244,4.880,5.195
2.248,4.885,5.215
2.252,4.895,5.205
2.256,4.890,5.180
2.260,4.875,5.185
2.264,4.885,5.205
2.268,4.880,5.195
2.272,4.865,5.195
2.276,4.855,5.185
2.280,4.865,5.200
2.284,4.870,5.200
2.288,4.865,5.190
2.292,4.850,5.185
2.296,4.845,5.205
2.300,4.850,5.210
2.304,4.855,5.185
2.308,4.845,5.180
2.312,4.840,5.190
2.316,4.855,5.200
2.320,4.855,5.180
2.324,4.835,5.175
2.328,4.835,5.180
2.332,4.850,5.185
2.336,4.845,5.170
2.340,4.835,5.160
2.344,4.825,5.155
2.348,4.825,5.175
2.352,4.840,5.175
2.356,4.825,5.160
2.360,4.815,5.160
2.364,4.835,5.185
2.368,4.835,5.165
2.372,4.815,5.140
2.376,4.810,5.135
2.380,4.825,5.155
2.384,4.825,5.155
2.388,4.820,5.145
2.392,4.805,5.140
2.396,4.815,5.155
2.400,4.815,5.160
2.404,4.815,5.140
2.408,4.815,5.130
2.412,4.825,5.140
2.416,4.830,5.155
2.420,4.825,5.135
2.424,4.805,5.135
2.428,4.795,5.140
2.432,4.815,5.150
2.436,4.820,5.145
2.440,4.815,5.130
2.444,4.815,5.140
2.448,4.825,5.150
2.452,4.835,5.155
2.456,4.815,5.140
2.460,4.815,5.135
2.464,4.835,5.150
2.468,4.850,5.150
2.472,4.850,5.150
2.476,4.875,5.155
2.480,5.010,5.180
2.484,5.470,5.230
2.488,5.915,5.555
2.492,5.530,5.925
2.496,5.090,5.655
2.500,5.025,5.540
2.504,5.080,5.375
2.508,5.025,5.360
2.512,4.995,5.335
2.516,5.000,5.330
2.520,4.990,5.290
2.524,4.950,5.265
2.528,4.915,5.245
2.532,4.915,5.235
2.536,4.890,5.215
2.540,4.845,5.200
2.544,4.805,5.190
2.548,4.785,5.200
2.552,4.750,5.175
2.556,4.695,5.140
2.560,4.645,5.130
2.564,4.560,5.125
2.568,4.470,5.095
2.572,4.395,5.070
2.576,4.355,5.075
2.580,4.315,5.065
2.584,4.295,5.010
2.588,4.290,4.950
2.592,4.265,4.875
2.596,4.290,4.850
2.600,4.305,4.845
2.604,4.300,4.760
2.608,4.290,4.700
2.612,4.325,4.660
2.616,4.380,4.605
2.620,4.430,4.535
2.624,4.495,4.465
2.628,4.565,4.460
2.632,4.645,4.540
2.636,4.695,4.605
2.640,4.725,4.665
2.644,4.765,4.765
2.648,4.795,4.860
2.652,4.815,4.900
2.656,4.810,4.930
2.660,4.820,4.975
2.664,4.850,4.990
2.668,4.860,4.995
2.672,4.870,5.000
2.676,4.865,4.995
2.680,4.870,5.005
2.684,4.880,5.025
2.688,4.880,5.035
2.692,4.890,5.055
2.696,4.905,5.065
2.700,4.915,5.080
2.704,4.940,5.115
2.708,4.930,5.135
2.712,4.950,5.155
2.716,4.975,5.170
2.720,4.980,5.175
2.724,4.970,5.165
2.728,4.980,5.185
2.732,4.990,5.195
2.736,4.995,5.195
2.740,4.990,5.190
2.744,4.985,5.205
2.748,5.005,5.220
2.752,5.010,5.215
2.756,5.000,5.210
2.760,5.000,5.230
2.764,5.010,5.245
2.768,5.025,5.255
2.772,5.015,5.250
2.776,5.010,5.255
2.780,5.015,5.295
2.784,5.020,5.300
2.788,5.025,5.305
2.792,5.020,5.320
2.796,5.030,5.335
2.800,5.040,5.345
2.804,5.050,5.340
2.808,5.035,5.330
2.812,5.055,5.350
2.816,5.075,5.360
2.820,5.075,5.355
2.824,5.095,5.360
2.828,5.105,5.380
2.832,5.120,5.395
2.836,5.130,5.390
2.840,5.130,5.400
2.844,5.150,5.410
2.848,5.175,5.430
2.852,5.190,5.435
2.856,5.195,5.435
2.860,5.190,5.460
2.864,5.190,5.480
2.868,5.190,5.480
2.872,5.170,5.450
2.876,5.140,5.460
2.880,5.145,5.475
2.884,5.145,5.490
2.888,5.120,5.465
2.892,5.090,5.460
2.896,5.085,5.460
2.900,5.085,5.465
2.904,5.050,5.435
2.908,5.015,5.435
2.912,5.015,5.410
2.916,5.005,5.410
2.920,4.995,5.395
2.924,4.975,5.370
2.928,4.970,5.370
2.932,4.975,5.365
2.936,4.965,5.345
2.940,4.945,5.335
2.944,4.935,5.325
2.948,4.935,5.320
2.952,4.925,5.305
2.956,4.910,5.275
2.960,4.900,5.285
2.964,4.905,5.280
2.968,4.915,5.270
2.972,4.905,5.260
2.976,4.890,5.240
2.980,4.900,5.255
2.984,4.900,5.250
2.988,4.890,5.230
2.992,4.880,5.225
2.996,4.895,5.235
3.000,4.900,5.240
3.004,4.870,5.215
3.008,4.855,5.205
3.012,4.855,5.205
3.016,4.865,5.220
3.020,4.865,5.210
3.024,4.850,5.190
3.028,4.855,5.200
3.032,4.865,5.200
3.036,4.855,5.195
3.040,4.845,5.185
3.044,4.840,5.180
3.048,4.850,5.195
3.052,4.845,5.180
3.056,4.845,5.180
3.060,4.825,5.185
3.064,4.835,5.185
3.068,4.845,5.185
3.072,4.830,5.170
3.076,4.815,5.170
3.080,4.825,5.180
3.084,4.840,5.190
3.088,4.820,5.170
3.092,4.805,5.165
3.096,4.825,5.175
3.100,4.825,5.165
3.104,4.810,5.165
3.108,4.800,5.160
3.112,4.810,5.175
3.116,4.805,5.180
3.120,4.805,5.165
3.124,4.790,5.150
3.128,4.795,5.160
3.132,4.800,5.165
3.136,4.800,5.155
3.140,4.785,5.150
3.144,4.775,5.155
3.148,4.790,5.170
3.152,4.795,5.160
3.156,4.780,5.135
3.160,4.770,5.155
3.164,4.775,5.170
3.168,4.785,5.160
3.172,4.770,5.140
3.176,4.765,5.140
3.180,4.780,5.160
3.184,4.800,5.155
3.188,4.775,5.140
3.192,4.760,5.150
3.196,4.785,5.155
3.200,4.785,5.160
3.204,4.785,5.140
3.208,4.775,5.135
3.212,4.775,5.150
3.216,4.790,5.160
3.220,4.780,5.145
3.224,4.775,5.135
3.228,4.780,5.150
3.232,4.790,5.145
3.236,4.790,5.150
3.240,4.790,5.140
3.244,4.790,5.155
3.248,4.805,5.160
3.252,4.830,5.165
3.256,4.860,5.160
3.260,5.015,5.200
3.264,5.520,5.315
3.268,5.845,5.725
3.272,5.390,5.960
3.276,5.030,5.610
3.280,5.025,5.400
3.284,5.050,5.365
3.288,4.985,5.355
3.292,4.940,5.325
3.296,4.940,5.330
3.300,4.940,5.330
3.304,4.885,5.250
3.308,4.845,5.215
3.312,4.820,5.210
3.316,4.805,5.215
3.320,4.770,5.200
3.324,4.720,5.180
3.328,4.680,5.170
3.332,4.655,5.140
3.336,4.580,5.110
3.340,4.460,5.085
3.344,4.380,5.080
3.348,4.340,5.075
3.352,4.300,5.060
3.356,4.260,5.005
3.360,4.240,4.950
3.364,4.250,4.895
3.368,4.260,4.840
3.372,4.260,4.795
3.376,4.260,4.750
3.380,4.275,4.710
3.384,4.300,4.655
3.388,4.350,4.585
3.392,4.405,4.515
3.396,4.480,4.465
3.400,4.505,4.450
3.404,4.620,4.530
3.408,4.660,4.595
3.412,4.725,4.680
3.416,4.765,4.785
3.420,4.775,4.855
3.424,4.775,4.900
3.428,4.800,4.955
3.432,4.820,4.990
3.436,4.830,4.985
3.440,4.835,4.975
3.444,4.850,4.990
3.448,4.855,5.015
3.452,4.850,5.015
3.456,4.845,5.015
3.460,4.855,5.040
3.464,4.875,5.075
3.468,4.895,5.075
3.472,4.905,5.095
3.476,4.900,5.140
3.480,4.920,5.170
3.484,4.925,5.180
3.488,4.935,5.170
3.492,4.940,5.180
3.496,4.945,5.195
3.500,4.940,5.205
3.504,4.955,5.205
3.508,4.955,5.210
3.512,4.965,5.215
3.516,4.970,5.225
3.520,4.975,5.235
3.524,4.965,5.220
3.528,4.975,5.235
3.532,4.985,5.250
3.536,4.990,5.240
3.540,4.975,5.235
3.544,4.975,5.265
3.548,5.005,5.275
3.552,5.010,5.270
3.556,4.995,5.265
3.560,5.015,5.280
3.564,5.025,5.305
3.568,5.040,5.300
3.572,5.040,5.300
3.576,5.020,5.320
3.580,5.045,5.325
3.584,5.055,5.350
3.588,5.065,5.340
3.592,5.060,5.340
3.596,5.075,5.365
3.600,5.080,5.380
3.604,5.070,5.370
3.608,5.075,5.380
3.612,5.090,5.395
3.616,5.105,5.420
3.620,5.100,5.430
3.624,5.100,5.430
3.628,5.100,5.450
3.632,5.115,5.465
3.636,5.115,5.460
3.640,5.100,5.460
3.644,5.095,5.475
3.648,5.105,5.495
3.652,5.095,5.485
3.656,5.080,5.480
3.660,5.070,5.485
3.664,5.070,5.500
3.668,5.060,5.490
3.672,5.030,5.480
3.676,5.010,5.470
3.680,5.005,5.480
3.684,4.995,5.465
3.688,4.975,5.455
3.692,4.950,5.435
3.696,4.955,5.445
3.700,4.950,5.450
3.704,4.935,5.395
3.708,4.920,5.375
3.712,4.930,5.370
3.716,4.935,5.360
3.720,4.930,5.330
3.724,4.920,5.315
3.728,4.930,5.320
3.732,4.940,5.305
3.736,4.935,5.295
3.740,4.930,5.280
3.744,4.925,5.275
3.748,4.945,5.270
3.752,4.950,5.265
3.756,4.940,5.250
3.760,4.930,5.255
3.764,4.925,5.260
3.768,4.910,5.245
3.772,4.900,5.220
3.776,4.870,5.215
3.780,4.890,5.230
3.784,4.885,5.210
3.788,4.860,5.190
3.792,4.840,5.185
3.796,4.855,5.200
3.800,4.860,5.195
3.804,4.845,5.175
3.808,4.835,5.160
3.812,4.830,5.180
3.816,4.845,5.180
3.820,4.840,5.165
3.824,4.830,5.160
3.828,4.840,5.165
3.832,4.835,5.175
3.836,4.830,5.165
3.840,4.820,5.150
3.844,4.815,5.150
3.848,4.820,5.170
3.852,4.825,5.160
3.856,4.810,5.150
3.860,4.815,5.160
3.864,4.825,5.165
3.868,4.825,5.160
3.872,4.815,5.145
3.876,4.805,5.130
3.880,4.810,5.140
3.884,4.810,5.150
3.888,4.805,5.140
3.892,4.805,5.125
3.896,4.805,5.135
3.900,4.810,5.140
3.904,4.800,5.135
3.908,4.800,5.125
3.912,4.805,5.135
3.916,4.820,5.140
3.920,4.820,5.130
3.924,4.805,5.115
3.928,4.795,5.135
3.932,4.810,5.135
3.936,4.810,5.130
3.940,4.810,5.115
3.944,4.810,5.120
3.948,4.820,5.135
3.952,4.815,5.130
3.956,4.810,5.120
3.960,4.805,5.125
3.964,4.815,5.130
3.968,4.820,5.125
3.972,4.815,5.115
3.976,4.810,5.115
3.980,4.820,5.135
3.984,4.825,5.135
3.988,4.815,5.115
3.992,4.810,5.115
3.996,4.820,5.130
4.000,4.825,5.135
4.004,4.825,5.130
4.008,4.820,5.125
4.012,4.830,5.135
4.016,4.865,5.145
4.020,4.875,5.145
4.024,4.900,5.150
4.028,5.010,5.190
4.032,5.470,5.255
4.036,5.990,5.560
4.040,5.620,5.935
4.044,5.265,5.740
4.048,5.315,5.525
4.052,5.435,5.505
4.056,5.475,5.500
4.060,5.565,5.515
4.064,5.735,5.545
4.068,5.930,5.580
4.072,6.090,5.630
4.076,6.160,5.690
4.080,6.125,5.680
4.084,5.905,5.525
4.088,5.630,5.245
4.092,5.390,4.980
4.096,5.220,4.835
4.100,5.170,4.800
4.104,4.900,4.775
4.108,4.795,4.815
4.112,4.745,4.885
4.116,4.735,4.985
4.120,4.715,5.045
4.124,4.715,5.070
4.128,4.740,5.080
4.132,4.740,5.095
4.136,4.740,5.085
4.140,4.725,5.065
4.144,4.730,5.070
4.148,4.745,5.065
4.152,4.735,5.065
4.156,4.715,5.030
4.160,4.705,5.050
4.164,4.720,5.050
4.168,4.725,5.060
4.172,4.730,5.035
4.176,4.715,5.040
4.180,4.720,5.045
4.184,4.715,5.045
4.188,4.705,5.025
4.192,4.690,5.035
4.196,4.695,5.040
4.200,4.700,5.045
4.204,4.690,5.040
4.208,4.680,5.020
4.212,4.670,5.040
4.216,4.685,5.040
4.220,4.670,5.030
4.224,4.660,5.015
4.228,4.665,5.020
4.232,4.665,5.025
4.236,4.665,5.015
4.240,4.635,5.000
4.244,4.635,5.005
4.248,4.635,5.010
4.252,4.640,5.010
4.256,4.615,4.990
4.260,4.610,4.990
4.264,4.625,5.005
4.268,4.625,5.000
4.272,4.620,4.985
4.276,4.600,4.975
4.280,4.605,4.990
4.284,4.620,4.985
4.288,4.605,4.965
4.292,4.585,4.970
4.296,4.605,4.990
4.300,4.615,5.000
4.304,4.605,4.970
4.308,4.590,4.960
4.312,4.600,4.990
4.316,4.610,4.990
4.320,4.605,4.965
4.324,4.585,4.960
4.328,4.590,4.970
4.332,4.610,4.990
4.336,4.610,4.985
4.340,4.615,4.960
4.344,4.605,4.980
4.348,4.630,5.000
4.352,4.625,4.995
4.356,4.615,4.995
4.360,4.630,4.995
4.364,4.650,5.025
4.368,4.640,5.030
4.372,4.650,5.025
4.376,4.655,5.035
4.380,4.675,5.075
4.384,4.690,5.075
4.388,4.700,5.085
4.392,4.710,5.095
4.396,4.730,5.110
4.400,4.735,5.120
4.404,4.740,5.125
4.408,4.730,5.135
4.412,4.750,5.165
4.416,4.775,5.175
4.420,4.785,5.180
4.424,4.780,5.175
4.428,4.790,5.195
4.432,4.800,5.200
4.436,4.805,5.195
4.440,4.790,5.195
4.444,4.800,5.195
4.448,4.805,5.210
4.452,4.805,5.210
4.456,4.800,5.195
4.460,4.800,5.200
4.464,4.810,5.210
4.468,4.820,5.210
4.472,4.805,5.180
4.476,4.795,5.185
4.480,4.790,5.200
4.484,4.795,5.205
4.488,4.790,5.180
4.492,4.780,5.185
4.496,4.795,5.190
4.500,4.800,5.195
4.504,4.780,5.180
4.508,4.775,5.170
4.512,4.795,5.175
4.516,4.795,5.180
4.520,4.790,5.170
4.524,4.775,5.155
4.528,4.765,5.175
4.532,4.785,5.185
4.536,4.785,5.175
4.540,4.775,5.170
4.544,4.775,5.175
4.548,4.785,5.185
4.552,4.775,5.175
4.556,4.765,5.170
4.560,4.770,5.170
4.564,4.780,5.180
4.568,4.775,5.175
4.572,4.765,5.170
4.576,4.755,5.170
4.580,4.770,5.185
4.584,4.775,5.190
4.588,4.770,5.180
4.592,4.760,5.190
4.596,4.770,5.200
4.600,4.780,5.205
4.604,4.760,5.205
4.608,4.755,5.190
4.612,4.765,5.205
4.616,4.770,5.205
4.620,4.765,5.200
4.624,4.760,5.185
4.628,4.755,5.195
4.632,4.785,5.205
4.636,4.790,5.190
4.640,4.790,5.175
4.644,4.800,5.180
4.648,4.810,5.170
